"S.No.","Division..Seat.No.","Name.of.Member","State","No.of.days.member.signed.the.register","Total","Session"
81,95,"Shri Tarini Kanta Roy","WB ","15",23,221
82,97,"Shri H.K. Dua","NOM. ","23",23,221
83,98,"Smt. Shobhana Bhartia","NOM. ","19",23,221
84,99,"Shri Shyam Benegal","NOM. ","15",23,221
85,100,"Dr. Ashok S. Ganguly","NOM. ","12",23,221
86,101,"Shri Javed Akhtar","NOM. ","7",23,221
87,102,"Smt. B. Jayashree","NOM. ","7",23,221
88,102,"Prof. M.S. Swaminathan","NOM. ","13",23,221
89,103,"Dr.(Smt.) Kapila Vatsyayan","NOM. ","19",23,221
90,104,"Dr. Vijay Mallya","KAR ","4",23,221
91,105,"Shri Ram Kripal Yadav","BR ","12",23,221
92,106,"Dr. Janardhan Waghmare","MH ","16",23,221
93,107,"*Smt. Vasanthi Stanley","TN ","19",23,221
94,107,"Shri Khekiho Zhimomi","NG ","9",23,221
95,108,"Dr. Anil Kumar Sahani","BR ","14",23,221
96,108,"Shri T.M. Selvaganapathi","TN ","17",23,221
97,112,"Shri Veer Pal Singh Yadav","UP ","19",23,221
98,115,"Shri O.T. Lepcha","SK ","19",23,221
99,117,"Shri Thomas Sangma","MGH ","12",23,221
100,118,"Shri Ranjitsinh Vijaysinh Mohite-Patil","MH ","19",23,221
101,120,"Shri Ishwarlal Shankarlal Jain","MH ","16",23,221
102,120,"Shri A.A. Jinnah","TN ","19",23,221
103,121,"Shri S. Thangavelu","TN ","17",23,221
104,122,"Shri Amar Singh","UP ","3",23,221
105,124,"Shri Mahmood A. Madani","UP ","10",23,221
106,125,"Shri R.C. Singh","WB ","23",23,221
107,126,"Shri Sitaram Yechury","WB ","20",23,221
108,127,"Prof. Ram Gopal Yadav","UP ","17",23,221
109,127,"Shri Mohan Singh","UP ","23",23,221
110,128,"Shri Shivanand Tiwari","BR ","13",23,221
111,129,"Dr. K. Keshava Rao","AP ","19",23,221
112,130,"Shri Tapan Kumar Sen","WB ","19",23,221
113,130,"Shri Prasanta Chatterjee","WB ","20",23,221
114,130,"Shri P. Rajeeve","KR ","18",23,221
115,131,"Shri Naresh Agrawal","UP ","6",23,221
116,132,"Shri Shashi Bhusan Behera","OR ","18",23,221
117,132,"Shri Satish Chandra Misra","UP ","18",23,221
118,133,"Smt. Kanimozhi","TN ","13",23,221
119,134,"Shri N. K. Singh","BR ","12",23,221
120,134,"Shri T.K. Rangarajan","TN ","16",23,221
121,135,"Shri D. Raja","TN ","23",23,221
122,135,"Shri Mohammed Amin","WB ","22",23,221
123,136,"Shri Kishore Kumar Mohanty","OR ","20",23,221
124,139,"Smt. Jharna Das Baidya","TR ","6",23,221
125,139,"Shri Ambeth Rajan","UP ","23",23,221
126,143,"Shri Mahendra Mohan","UP ","18",23,221
127,144,"Shri Mangala Kisan","OR ","23",23,221
128,144,"Shri K.N. Balagopal","KR ","21",23,221
129,146,"Shri Narendra Kumar Kashyap","UP ","19",23,221
130,146,"Shri M.V. Mysura Reddy","AP ","23",23,221
131,147,"Shri Veer Singh","UP ","17",23,221
132,148,"Shri Abani Roy","WB ","21",23,221
133,148,"Dr. Barun Mukherji","WB ","22",23,221
134,149,"Shri Syed Azeez Pasha","AP ","22",23,221
135,150,"Dr. T.N. Seema","KR ","20",23,221
136,152,"Shri Munquad Ali","UP ","6",23,221
137,152,"Smt. Renubala Pradhan","OR ","8",23,221
138,153,"Shri Jai Prakash","UP ","8",23,221
139,153,"Shri Rajaram","UP ","18",23,221
140,154,"Shri Ganga Charan","UP ","12",23,221
141,154,"Prof. S.P.Singh Baghel","UP ","19",23,221
142,155,"Shri Brijlal Khabri","UP ","14",23,221
143,156,"*Shri Pyarimohan Mohapatra","OR ","10",23,221
144,157,"Shri Saman Pathak","WB ","22",23,221
145,160,"Shri M.P. Achuthan","KR ","20",23,221
146,161,"Shri Nandamuri Harikrishna","AP ","23",23,221
147,166,"Shri Ahmad Saeed Malihabadi","WB ","20",23,221
148,167,"Shri Sabir Ali","BR ","9",23,221
149,168,"Shri Ali Anwar Ansari","BR ","10",23,221
150,170,"Shri Jugul Kishore","UP ","1",23,221
151,171,"Shri K.E. Ismail","KR ","7",23,221
152,174,"Shri Pramod Kureel","UP ","10",23,221
153,175,"Shri Salim Ansari","UP ","23",23,221
154,176,"Shri Rajpal Singh Saini","UP ","21",23,221
155,177,"Dr. Manohar Joshi","MH ","9",23,221
156,177,"Shri Anand Sharma","HP ","M",23,221
157,178,"Shri A.K. Antony","KR ","M",23,221
158,179,"*Shri Shanta Kumar","HP ","14",23,221
159,179,"Dr. Karan Singh","DL ","20",23,221
160,180,"Shri S.S. Ahluwalia","JHK ","21",23,221
161,180,"Dr. Manmohan Singh","AS ","PM",23,221
162,181,"Shri Ahmed Patel","GJ ","8",23,221
163,182,"Shri Rajiv Pratap Rudy","BR ","16",23,221
164,183,"Shri Vikram Verma","MP ","20",23,221
165,183,"Shri K. Rahman Khan","KAR ","HDC",23,221
166,184,"Shri Motilal Vora","CHT ","23",23,221
167,184,"Shri Janardan Dwivedi","DL ","23",23,221
168,185,"Shri Prem Chand Gupta","JHK ","21",23,221
169,185,"Shri Balavant alias Bal Apte","MH ","14",23,221
170,187,"Shri Oscar Fernandes","KAR ","15",23,221
171,188,"Prof. Saif-ud-Din Soz","J & K ","23",23,221
172,189,"Shri Balbir Punj","OR ","17",23,221
173,189,"Shri Jairam Ramesh","KAR ","M",23,221
174,191,"Shri Rajeev Shukla","MH ","21",23,221
175,191,"Shri Kalraj Mishra","UP ","14",23,221
176,191,"Dr. T. Subbarami Reddy","AP ","14",23,221
177,192,"Shri Ram Jethmalani","BR ","4",23,221
178,192,"Shri Birendra Prasad Baishya","AS ","20",23,221
179,192,"Shri Murli Deora","MH ","M",23,221
180,193,"Shri Narendra Budania","RJ ","22",23,221
181,194,"Shri N. Balaganga","TN ","21",23,221
182,195,"Shri Mohd. Ali Khan","AP ","23",23,221
183,196,"Miss Anusuiya Uikey","MP ","19",23,221
184,198,"Shri Mani Shankar Aiyar","NOM. ","10",23,221
185,199,"Shri Mohammad Shafi","J & K ","6",23,221
186,200,"Shri V. Hanumantha Rao","TG ","17",23,221
187,201,"Shri Jesudasu Seelam","AP ","20",23,221
188,201,"Shri Upendra Kushwaha","BR ","22",23,221
189,202,"Shri Shadi Lal Batra","HR ","22",23,221
190,202,"Shri Shivpratap Singh","CHT ","13",23,221
191,203,"Shri Parvez Hashmi","DL ","20",23,221
192,204,"Shri Raghunandan Sharma","MP ","21",23,221
193,204,"Dr. K.V.P. Ramachandra Rao","TG ","16",23,221
194,206,"Shri Rudra Narayan Pany","OR ","23",23,221
195,207,"Shri Kumar Deepak Das","AS ","21",23,221
196,209,"Shri A. Elavarasan","TN ","23",23,221
197,209,"Dr. Bhalchandra Mungekar","NOM. ","19",23,221
198,211,"Dr. Bharatkumar Raut","MH ","16",23,221
199,213,"Shri Surendra Motilal Patel","GJ ","16",23,221
200,214,"Shri Shantaram Naik","GOA ","22",23,221
201,214,"Shri Praveen Rashtrapal","GJ ","21",23,221
202,218,"Shri G. N. Ratanpuri","J & K ","22",23,221
203,222,"Shri K.V. Ramalingam","TN ","19",23,221
204,225,"Shri Avinash Pande","MH ","7",23,221
205,227,"Shri Dhiraj Prasad Sahu","JHK ","14",23,221
206,228,"Shri Ghulam Nabi Azad","J & K ","M",23,221
207,229,"Prof. P.J. Kurien","KR ","HDC",23,221
208,230,"Smt. Maya Singh","MP ","22",23,221
209,230,"Shri Bhubaneswar Kalita","AS ","17",23,221
210,230,"Shri Satyavrat Chaturvedi","MP ","21",23,221
211,231,"Shri Bhagat Singh Koshyari","UTK ","19",23,221
212,231,"Smt. Ambika Soni","PB ","M",23,221
213,232,"Smt. Mohsina Kidwai","CHT ","22",23,221
214,233,"Shri Ashwani Kumar","PB ","21",23,221
215,233,"Shri Ramdas Agarwal","RJ ","10",23,221
216,234,"Shri Vayalar Ravi","KR ","M",23,221
217,235,"Dr. Abhishek Manu Singhvi","WB ","12",23,221
218,235,"Shri Vijaykumar Rupani","GJ ","15",23,221
219,236,"Smt. Viplove Thakur","HP ","20",23,221
220,237,"Shri Mukut Mithi","AR ","18",23,221
221,237,"Shri Satish Sharma","UP ","23",23,221
222,240,"Shri Natuji Halaji Thakor","GJ ","13",23,221
223,240,"Shri K.B. Shanappa","KAR ","21",23,221
224,240,"Dr. M.S. Gill","PB ","M",23,221
225,241,"Shri Shreegopal Vyas","CHT ","23",23,221
226,241,"Shri Bharatsinh Prabhatsinh Parmar","GJ ","14",23,221
227,241,"Dr. E.M. Sudarsana Natchiappan","TN ","23",23,221
228,242,"Shri Vijay Jawaharlal Darda","MH ","12",23,221
229,244,"Shri Jai Prakash Narayan Singh","JHK ","16",23,221
230,244,"Shri Kanjibhai Patel","GJ ","21",23,221
231,245,"Shri Narayan Singh Kesari","MP ","22",23,221
232,245,"Dr. Vijaylaxmi Sadho","MP ","21",23,221
233,246,"Smt. Naznin Faruque","AS ","18",23,221
234,246,"Shri Pravin Naik","GJ ","20",23,221
235,247,"Shri P. Kannan","PUD ","6",23,221
236,247,"Dr. Gyan Prakash Pilania","RJ ","23",23,221
237,248,"*Shri Ashk Ali Tak","RJ ","11",23,221
1,0,"Dr. Akhilesh Das Gupta","UP ","19",23,222
2,0,"Shri Avtar Singh Karimpuri","UP ","18",23,222
3,0,"Smt. Kusum Rai","UP ","19",23,222
4,0,"Shri Brajesh Pathak","UP ","17",23,222
5,0,"Shri Mohammed Adeeb","UP ","22",23,222
6,0,"Shri S.M. Krishna","KAR ","M",23,222
7,1,"Shri Arun Jaitley","UP ","LOP",23,222
8,6,"Shri Mukhtar Abbas Naqvi","JHK ","20",23,222
9,7,"Shri Anil Madhav Dave","MP ","21",23,222
10,7,"Shri Avinash Rai Khanna","PB ","23",23,222
11,8,"Shri Kaptan Singh Solanki","MP ","22",23,222
12,8,"Shri Parshottam Rupala","GJ ","22",23,222
13,9,"Shri Rishang Keishing","MN ","23",23,222
14,11,"Dr. Chandan Mitra","MP ","17",23,222
15,12,"Ms. Sushila Tiriya","OR ","17",23,222
16,12,"Shri Nand Kumar Sai","CHT ","22",23,222
17,13,"Shri Tarun Vijay","UTK ","20",23,222
18,14,"Shri Aayanur Manjunatha","KAR ","18",23,222
19,15,"*Dr. Prabha Thakur","RJ ","20",23,222
20,16,"Prof. Alka Balram Kshatriya","GJ ","23",23,222
21,18,"Shri Silvius Condpan","AS ","22",23,222
22,24,"Shri M. Venkaiah Naidu","RJ ","19",23,222
23,25,"Shri Ravi Shankar Prasad","BR ","15",23,222
24,29,"Shri Prakash Javadekar","MH ","19",23,222
25,30,"Chaudhary Birender Singh","HR ","21",23,222
26,31,"Shri Piyush Goyal","MH ","19",23,222
27,31,"Shri G.K. Vasan","TN ","M",23,222
28,32,"Shri M. Rama Jois","KAR ","23",23,222
29,35,"Shri V.P. Singh Badnore","RJ ","22",23,222
30,37,"Sardar Sukhdev Singh Dhindsa","PB ","20",23,222
31,38,"Smt. Jayanthi Natarajan","TN ","12",23,222
32,38,"Shri Sanjay Raut","MH ","18",23,222
33,39,"Shri Om Prakash Mathur","RJ ","19",23,222
34,41,"Dr. C.P. Thakur","BR ","18",23,222
35,41,"Shri Nandi Yellaiah","AP ","17",23,222
36,41,"Ms. Mabel Rebello","JHK ","22",23,222
37,41,"Smt. Bimla Kashyap Sood","HP ","22",23,222
38,42,"Shri Prabhat Jha","MP ","17",23,222
39,44,"Shri Rasheed Masood","UP ","13",23,222
40,44,"Sardar Balwinder Singh Bhunder","PB ","17",23,222
41,45,"Shri Naresh Gujral","PB ","20",23,222
42,48,"Shri Parimal Nathwani","JHK ","6",23,222
43,49,"Shri Rama Chandra Khuntia","OR ","21",23,222
44,50,"Shri Raashid Alvi","AP ","22",23,222
45,50,"Dr. Ram Prakash","HR ","23",23,222
46,51,"Shri Vinay Katiyar","UP ","19",23,222
47,52,"Shri Rajeev Chandrasekhar","KAR ","22",23,222
48,52,"Dr. Dasari Narayana Rao","AP ","12",23,222
49,53,"Shri Rajkumar Dhoot","MH ","8",23,222
50,54,"Shri G. Sanjeeva Reddy","AP ","17",23,222
51,55,"Shri B. S. Gnanadesikan","TN ","14",23,222
52,56,"Shri Ishwar Singh","HR ","19",23,222
53,58,"Shri Lalhming Liana","MZ ","23",23,222
54,60,"Smt. Gundu Sudharani","TG ","18",23,222
55,61,"Shri Paul Manoj Pandian","TN ","7",23,222
56,62,"Dr. Ram Dayal Munda","NOM. ","21",23,222
57,64,"Smt. T. Ratna Bai","AP ","23",23,222
58,66,"Shri Anil H. Lad","KAR ","18",23,222
59,69,"Shri Ranbir Singh Parjapati","HR ","14",23,222
60,74,"Shri Biswajit Daimary","AS ","10",23,222
61,74,"Shri Swapan Sadhan Bose","WB ","5",23,222
62,75,"Dr. N. Janardhana Reddy","AP ","12",23,222
63,76,"Shri Ram Chandra Prasad Singh","BR ","20",23,222
64,78,"Shri Y. S. Chowdary","AP ","18",23,222
65,79,"Shri Tariq Anwar","MH ","22",23,222
66,83,"Smt. Brinda Karat","WB ","18",23,222
67,83,"Shri Moinul Hassan","WB ","8",23,222
68,84,"Dr. Yogendra P. Trivedi","MH ","13",23,222
69,85,"Shri Jabir Husain","BR ","23",23,222
70,85,"Shri Baishnab Parida","OR ","21",23,222
71,86,"Dr. V. Maitreyan","TN ","4",23,222
72,87,"Shri Mukul Roy","WB ","M",23,222
73,88,"Shri Shyamal Chakraborty","WB ","12",23,222
74,88,"Dr. Kanwar Deep Singh","WB ","19",23,222
75,89,"Dr. Mahendra Prasad","BR ","23",23,222
76,90,"Shri Rajniti Prasad","BR ","23",23,222
77,90,"Shri Ram Vilas Paswan","BR ","17",23,222
78,93,"Dr. K.P. Ramalingam","TN ","20",23,222
79,95,"Shri Tarini Kanta Roy","WB ","12",23,222
80,97,"Shri H.K. Dua","NOM. ","23",23,222
81,98,"Smt. Shobhana Bhartia","NOM. ","18",23,222
82,99,"Shri Shyam Benegal","NOM. ","19",23,222
83,100,"Dr. Ashok S. Ganguly","NOM. ","22",23,222
84,101,"Shri Javed Akhtar","NOM. ","13",23,222
85,102,"*Smt. B. Jayashree","NOM. ","16",23,222
86,102,"Prof. M.S. Swaminathan","NOM. ","20",23,222
87,103,"Dr.(Smt.) Kapila Vatsyayan","NOM. ","20",23,222
88,104,"Dr. Vijay Mallya","KAR ","9",23,222
89,105,"Shri Ram Kripal Yadav","BR ","21",23,222
90,106,"Dr. Janardhan Waghmare","MH ","17",23,222
91,107,"Smt. Vasanthi Stanley","TN ","19",23,222
92,107,"Shri Khekiho Zhimomi","NG ","19",23,222
93,108,"Dr. Anil Kumar Sahani","BR ","21",23,222
94,108,"Shri T.M. Selvaganapathi","TN ","16",23,222
95,112,"Shri Veer Pal Singh Yadav","UP ","16",23,222
96,115,"Shri O.T. Lepcha","SK ","20",23,222
97,117,"Shri Thomas Sangma","MGH ","21",23,222
98,118,"Shri Ranjitsinh Vijaysinh Mohite-Patil","MH ","20",23,222
99,120,"Shri Ishwarlal Shankarlal Jain","MH ","18",23,222
100,120,"Shri A.A. Jinnah","TN ","16",23,222
101,121,"Shri S. Thangavelu","TN ","16",23,222
102,122,"Shri Amar Singh","UP ","8",23,222
103,124,"Shri Mahmood A. Madani","UP ","12",23,222
104,125,"Shri R.C. Singh","WB ","22",23,222
105,126,"Shri Sitaram Yechury","WB ","21",23,222
106,127,"Prof. Ram Gopal Yadav","UP ","15",23,222
107,127,"Shri Mohan Singh","UP ","22",23,222
108,128,"Shri Shivanand Tiwari","BR ","21",23,222
109,129,"Dr. K. Keshava Rao","AP ","21",23,222
110,130,"Shri Tapan Kumar Sen","WB ","20",23,222
111,130,"Shri Prasanta Chatterjee","WB ","5",23,222
112,130,"Shri P. Rajeeve","KR ","15",23,222
113,131,"Shri Naresh Agrawal","UP ","16",23,222
114,132,"Shri Shashi Bhusan Behera","OR ","23",23,222
115,132,"Shri Satish Chandra Misra","UP ","20",23,222
116,133,"Smt. Kanimozhi","TN ","7",23,222
117,134,"Shri N. K. Singh","BR ","22",23,222
118,134,"Shri T.K. Rangarajan","TN ","6",23,222
119,135,"Shri D. Raja","TN ","21",23,222
120,135,"Shri Mohammed Amin","WB ","23",23,222
121,136,"Shri Kishore Kumar Mohanty","OR ","19",23,222
122,139,"Smt. Jharna Das Baidya","TR ","22",23,222
123,139,"Shri Ambeth Rajan","UP ","23",23,222
124,143,"Shri Mahendra Mohan","UP ","19",23,222
125,144,"Shri Mangala Kisan","OR ","23",23,222
126,144,"Shri K.N. Balagopal","KR ","13",23,222
127,146,"Shri Narendra Kumar Kashyap","UP ","22",23,222
128,146,"Shri M.V. Mysura Reddy","AP ","23",23,222
129,147,"Shri Veer Singh","UP ","18",23,222
130,148,"Shri Abani Roy","WB ","22",23,222
131,148,"Dr. Barun Mukherji","WB ","22",23,222
132,149,"Shri Syed Azeez Pasha","AP ","22",23,222
133,150,"Dr. T.N. Seema","KR ","12",23,222
134,152,"Shri Munquad Ali","UP ","5",23,222
135,152,"Smt. Renubala Pradhan","OR ","11",23,222
136,153,"Shri Jai Prakash","UP ","15",23,222
137,153,"Shri Rajaram","UP ","22",23,222
138,154,"Shri Ganga Charan","UP ","14",23,222
139,154,"Prof. S.P.Singh Baghel","UP ","22",23,222
140,155,"Shri Brijlal Khabri","UP ","5",23,222
141,156,"*Shri Pyarimohan Mohapatra","OR ","13",23,222
142,157,"Shri Saman Pathak","WB ","17",23,222
143,160,"Shri M.P. Achuthan","KR ","17",23,222
144,161,"Shri Nandamuri Harikrishna","AP ","19",23,222
145,166,"Shri Ahmad Saeed Malihabadi","WB ","21",23,222
146,167,"Shri Sabir Ali","BR ","16",23,222
147,168,"*Shri P.R. Rajan","KR ","3",23,222
148,168,"Shri Ali Anwar Ansari","BR ","19",23,222
149,170,"Shri Jugul Kishore","UP ","15",23,222
150,171,"Shri K.E. Ismail","KR ","6",23,222
151,174,"Shri Pramod Kureel","UP ","7",23,222
152,175,"Shri Salim Ansari","UP ","23",23,222
153,176,"Shri Rajpal Singh Saini","UP ","22",23,222
154,177,"Dr. Manohar Joshi","MH ","21",23,222
155,177,"Shri Anand Sharma","HP ","M",23,222
156,178,"Shri A.K. Antony","KR ","M",23,222
157,179,"Shri Shanta Kumar","HP ","15",23,222
158,179,"Dr. Karan Singh","DL ","21",23,222
159,180,"Shri S.S. Ahluwalia","JHK ","22",23,222
160,180,"Dr. Manmohan Singh","AS ","PM",23,222
161,181,"Shri Ahmed Patel","GJ ","14",23,222
162,182,"Shri Rajiv Pratap Rudy","BR ","21",23,222
163,183,"Shri Vikram Verma","MP ","21",23,222
164,183,"Shri K. Rahman Khan","KAR ","HDC",23,222
165,184,"Shri Motilal Vora","CHT ","23",23,222
166,184,"Shri Janardan Dwivedi","DL ","23",23,222
167,185,"Shri Prem Chand Gupta","JHK ","19",23,222
168,185,"Shri Balavant alias Bal Apte","MH ","11",23,222
169,187,"Shri Oscar Fernandes","KAR ","23",23,222
170,188,"Prof. Saif-ud-Din Soz","J & K ","23",23,222
171,189,"Shri Balbir Punj","OR ","14",23,222
172,189,"Shri Jairam Ramesh","KAR ","M",23,222
173,191,"Shri Kalraj Mishra","UP ","15",23,222
174,191,"Shri Rajeev Shukla","MH ","23",23,222
175,191,"Dr. T. Subbarami Reddy","AP ","15",23,222
176,192,"Shri Ram Jethmalani","BR ","9",23,222
177,192,"Shri Birendra Prasad Baishya","AS ","13",23,222
178,192,"Shri Murli Deora","MH ","M",23,222
179,193,"Shri Narendra Budania","RJ ","22",23,222
180,194,"Shri N. Balaganga","TN ","2",23,222
181,195,"Shri Mohd. Ali Khan","AP ","23",23,222
182,196,"Miss Anusuiya Uikey","MP ","19",23,222
183,198,"Shri Mani Shankar Aiyar","NOM. ","17",23,222
184,199,"Shri Mohammad Shafi","J & K ","23",23,222
185,200,"Shri V. Hanumantha Rao","TG ","20",23,222
186,201,"Shri Jesudasu Seelam","AP ","22",23,222
187,201,"Shri Upendra Kushwaha","BR ","20",23,222
188,202,"Shri Shadi Lal Batra","HR ","23",23,222
189,202,"Shri Shivpratap Singh","CHT ","12",23,222
190,203,"Shri Parvez Hashmi","DL ","20",23,222
191,204,"Shri Raghunandan Sharma","MP ","20",23,222
192,204,"Dr. K.V.P. Ramachandra Rao","TG ","19",23,222
193,206,"Shri Rudra Narayan Pany","OR ","21",23,222
194,207,"Shri Kumar Deepak Das","AS ","18",23,222
195,209,"Shri A. Elavarasan","TN ","18",23,222
196,209,"Dr. Bhalchandra Mungekar","NOM. ","19",23,222
197,211,"Dr. Bharatkumar Raut","MH ","22",23,222
198,213,"Shri Surendra Motilal Patel","GJ ","16",23,222
199,213,"Smt. Hema Malini","KAR ","3",23,222
200,214,"Shri Shantaram Naik","GOA ","23",23,222
201,214,"Shri Praveen Rashtrapal","GJ ","22",23,222
202,218,"Shri G. N. Ratanpuri","J & K ","22",23,222
203,222,"Shri K.V. Ramalingam","TN ","6",23,222
204,225,"Shri Avinash Pande","MH ","22",23,222
205,227,"Shri Dhiraj Prasad Sahu","JHK ","17",23,222
206,228,"Shri Ghulam Nabi Azad","J & K ","M",23,222
207,229,"Prof. P.J. Kurien","KR ","HDC",23,222
208,230,"Smt. Maya Singh","MP ","23",23,222
209,230,"Shri Bhubaneswar Kalita","AS ","11",23,222
210,230,"Shri Satyavrat Chaturvedi","MP ","23",23,222
211,231,"Shri Bhagat Singh Koshyari","UTK ","19",23,222
212,231,"Smt. Ambika Soni","PB ","M",23,222
213,232,"Smt. Mohsina Kidwai","CHT ","22",23,222
214,233,"Shri Ramdas Agarwal","RJ ","19",23,222
215,233,"Shri Ashwani Kumar","PB ","M",23,222
216,234,"Shri Vayalar Ravi","KR ","M",23,222
217,235,"Dr. Abhishek Manu Singhvi","WB ","17",23,222
218,235,"Shri Vijaykumar Rupani","GJ ","21",23,222
219,236,"Smt. Viplove Thakur","HP ","22",23,222
220,237,"Shri Mukut Mithi","AR ","19",23,222
221,237,"Shri Satish Sharma","UP ","18",23,222
222,240,"Shri Natuji Halaji Thakor","GJ ","21",23,222
223,240,"Shri K.B. Shanappa","KAR ","22",23,222
224,240,"Dr. M.S. Gill","PB ","M",23,222
225,241,"Shri Shreegopal Vyas","CHT ","22",23,222
226,241,"Shri Bharatsinh Prabhatsinh Parmar","GJ ","20",23,222
227,241,"Dr. E.M. Sudarsana Natchiappan","TN ","23",23,222
228,242,"*Shri Vijay Jawaharlal Darda","MH ","13",23,222
229,244,"Shri Jai Prakash Narayan Singh","JHK ","22",23,222
230,244,"Shri Kanjibhai Patel","GJ ","23",23,222
231,245,"Shri Narayan Singh Kesari","MP ","23",23,222
232,245,"Dr. Vijaylaxmi Sadho","MP ","19",23,222
233,246,"Smt. Naznin Faruque","AS ","22",23,222
234,246,"Shri Pravin Naik","GJ ","23",23,222
235,247,"Shri P. Kannan","PUD ","16",23,222
236,247,"Dr. Gyan Prakash Pilania","RJ ","23",23,222
237,248,"Shri Ashk Ali Tak","RJ ","23",23,222
1,0,"Dr. Akhilesh Das Gupta","UP ","20",26,223
2,0,"Shri Avtar Singh Karimpuri","UP ","25",26,223
3,0,"Smt. Kusum Rai","UP ","25",26,223
4,0,"Shri Brajesh Pathak","UP ","25",26,223
5,0,"Shri Mohammed Adeeb","UP ","25",26,223
6,0,"Shri S.M. Krishna","KAR ","M",26,223
7,1,"Shri Arun Jaitley","UP ","LOP",26,223
8,6,"Shri Mukhtar Abbas Naqvi","JHK ","21",26,223
9,7,"Shri Anil Madhav Dave","MP ","23",26,223
10,7,"Shri Avinash Rai Khanna","PB ","25",26,223
11,8,"Shri Kaptan Singh Solanki","MP ","26",26,223
12,8,"Shri Parshottam Rupala","GJ ","25",26,223
13,9,"Shri Rishang Keishing","MN ","26",26,223
14,11,"Dr. Chandan Mitra","MP ","25",26,223
15,12,"Ms. Sushila Tiriya","OR ","24",26,223
16,12,"Shri Nand Kumar Sai","CHT ","21",26,223
17,13,"Shri Tarun Vijay","UTK ","24",26,223
18,13,"Shri Meghraj Jain","MP ","25",26,223
19,14,"Shri Aayanur Manjunatha","KAR ","15",26,223
20,15,"Dr. Prabha Thakur","RJ ","25",26,223
21,16,"Prof. Alka Balram Kshatriya","GJ ","25",26,223
22,18,"Shri Silvius Condpan","AS ","4",26,223
23,24,"Shri M. Venkaiah Naidu","RJ ","16",26,223
24,25,"Shri Ravi Shankar Prasad","BR ","24",26,223
25,29,"Shri Prakash Javadekar","MH ","26",26,223
26,30,"Chaudhary Birender Singh","HR ","22",26,223
27,31,"Shri Piyush Goyal","MH ","20",26,223
28,31,"Shri G.K. Vasan","TN ","M",26,223
29,32,"Smt. Smriti Zubin Irani","GJ ","9",26,223
30,32,"Shri M. Rama Jois","KAR ","18",26,223
31,35,"Shri V.P. Singh Badnore","RJ ","26",26,223
32,37,"Sardar Sukhdev Singh Dhindsa","PB ","11",26,223
33,38,"Shri Sanjay Raut","MH ","20",26,223
34,38,"Smt. Jayanthi Natarajan","TN ","M",26,223
35,39,"Shri Om Prakash Mathur","RJ ","24",26,223
36,41,"Dr. C.P. Thakur","BR ","22",26,223
37,41,"Shri Nandi Yellaiah","AP ","23",26,223
38,41,"Ms. Mabel Rebello","JHK ","26",26,223
39,41,"Smt. Bimla Kashyap Sood","HP ","26",26,223
40,42,"Shri Prabhat Jha","MP ","20",26,223
41,44,"Shri Rasheed Masood","UP ","22",26,223
42,44,"Sardar Balwinder Singh Bhunder","PB ","9",26,223
43,45,"*Shri Naresh Gujral","PB ","23",26,223
44,47,"Shri Dilipbhai Pandya","GJ ","11",26,223
45,48,"Shri Parimal Nathwani","JHK ","15",26,223
46,49,"Shri Rama Chandra Khuntia","OR ","22",26,223
47,50,"Shri Raashid Alvi","AP ","26",26,223
48,50,"Dr. Ram Prakash","HR ","26",26,223
49,51,"Shri Vinay Katiyar","UP ","26",26,223
50,52,"*Shri Rajeev Chandrasekhar","KAR ","16",26,223
51,52,"Dr. Dasari Narayana Rao","AP ","3",26,223
52,53,"Shri Rajkumar Dhoot","MH ","15",26,223
53,54,"Shri G. Sanjeeva Reddy","AP ","24",26,223
54,55,"Shri B. S. Gnanadesikan","TN ","9",26,223
55,56,"Shri Ishwar Singh","HR ","26",26,223
56,58,"Shri Lalhming Liana","MZ ","25",26,223
57,60,"Smt. Gundu Sudharani","TG ","2",26,223
58,61,"Shri Paul Manoj Pandian","TN ","20",26,223
59,64,"Smt. T. Ratna Bai","AP ","26",26,223
60,66,"Shri Anil H. Lad","KAR ","19",26,223
61,69,"Shri Ranbir Singh Parjapati","HR ","17",26,223
62,72,"Shri A. W. Rabi Bernard","TN ","25",26,223
63,74,"Shri Biswajit Daimary","AS ","20",26,223
64,74,"Shri Swapan Sadhan Bose","WB ","3",26,223
65,75,"Dr. N. Janardhana Reddy","AP ","18",26,223
66,76,"Shri Ram Chandra Prasad Singh","BR ","23",26,223
67,78,"Shri Y. S. Chowdary","AP ","22",26,223
68,79,"Shri Tariq Anwar","MH ","26",26,223
69,83,"Smt. Brinda Karat","WB ","9",26,223
70,83,"Shri Moinul Hassan","WB ","24",26,223
71,83,"Shri Sukhendu Sekhar Ray","WB ","13",26,223
72,84,"Dr. Yogendra P. Trivedi","MH ","15",26,223
73,85,"Shri Jabir Husain","BR ","26",26,223
74,85,"Shri Baishnab Parida","OR ","24",26,223
75,86,"Dr. V. Maitreyan","TN ","25",26,223
76,87,"Shri Mukul Roy","WB ","M",26,223
77,88,"Shri Shyamal Chakraborty","WB ","24",26,223
78,88,"Dr. Kanwar Deep Singh","WB ","24",26,223
79,89,"Dr. Mahendra Prasad","BR ","21",26,223
80,90,"Shri Rajniti Prasad","BR ","24",26,223
81,90,"Shri Ram Vilas Paswan","BR ","22",26,223
